,Brewery_ID,Name,Type,ABV,IBU,Rating,Rating_Count
0,0,Long Walk,IPA - American,"
7% ABV ","
57 IBU ",(3.61),"
5,723 Ratings "
1,0,Kung Fu Robot,IPA - American,"
7% ABV ","
43 IBU ",(3.65),"
4,707 Ratings "
2,0,Vitality Light Ale,Blonde Ale,"
5% ABV ","
17 IBU ",(3.46),"
2,687 Ratings "
3,0,Sun Eater,Gruit / Ancient Herbed Ale,"
4.8% ABV ","
N/A IBU ",(3.48),"
2,579 Ratings "
4,0,Highland Scoundrel,Scotch Ale / Wee Heavy,"
10.6% ABV ","
20 IBU ",(3.84),"
2,404 Ratings "
5,1,Naked Nun,Wheat Beer - Witbier,"
5.8% ABV ","
N/A IBU ",(3.6),"
10,933 Ratings "
6,1,Tripel B,Belgian Tripel,"
9.3% ABV ","
N/A IBU ",(3.87),"
10,253 Ratings "
7,1,Philosophizer,Farmhouse Ale - Saison,"
7.8% ABV ","
36 IBU ",(3.8),"
9,745 Ratings "
8,1,Hibiscus Saison,Farmhouse Ale - Saison,"
5.6% ABV ","
33 IBU ",(3.65),"
7,303 Ratings "
9,1,Flyin' Monks,Belgian Quadrupel,"
10.9% ABV ","
N/A IBU ",(3.95),"
6,307 Ratings "
10,2,Fire Eagle,IPA - American,"
7.3% ABV  ","
65 IBU ",(3.7),"
27,264 Ratings "
11,2,Pearl-Snap,Pilsner - German,"
5.3% ABV ","
45 IBU ",(3.55),"
23,894 Ratings "
12,2,Peacemaker,Golden Ale,"
5% ABV ","
15 IBU ",(3.49),"
13,716 Ratings "
13,2,Black Thunder,Schwarzbier,"
5.3% ABV ","
45 IBU ",(3.68),"
9,352 Ratings "
14,2,Bloodwork Orange IPA,IPA - American,"
7% ABV ","
72 IBU ",(3.74),"
10,019 Ratings "
15,3,Vulcan,IPA - Rye,"
6.5% ABV ","
45 IBU ",(3.7),"
3,167 Ratings "
16,3,Recalcitrant Dockhand,Porter - American,"
6.3% ABV ","
31 IBU ",(3.84),"
1,585 Ratings "
17,3,Waterloo,Sour - Berliner Weisse,"
3.1% ABV ","
6 IBU ",(3.75),"
1,359 Ratings "
18,3,Elba,Wheat Beer - American Pale Wheat,"
4.4% ABV ","
16 IBU ",(3.57),"
829 Ratings "
19,3,Pneuma,Pale Ale - American,"
5.4% ABV ","
36 IBU ",(3.67),"
701 Ratings "
20,4,Propeller Head,IPA - American,"
6.6% ABV ","
50 IBU ",(3.63),"
602 Ratings "
21,4,Electric Lederhosen,Lager - Vienna,"
5% ABV ","
15 IBU ",(3.71),"
564 Ratings "
22,4,Sol Surfer,Pale Ale - American,"
5.2% ABV ","
31 IBU ",(3.61),"
497 Ratings "
23,4,Lightning Wizard,Wheat Beer - Witbier,"
4.3% ABV ","
9 IBU ",(3.67),"
477 Ratings "
24,4,Iron Belly,Porter - American,"
5.9% ABV ","
29 IBU ",(3.89),"
440 Ratings "
25,5,Celis White (US Only),Wheat Beer - Witbier,"
4.9% ABV ","
14 IBU ",(3.65),"
11,216 Ratings "
26,5,Citrus Grandis IPA,IPA - New England,"
5% ABV ","
45 IBU ",(3.57),"
5,168 Ratings "
27,5,Celis Pale Bock,Bock - Single / Traditional,"
4.9% ABV ","
12 IBU ",(3.53),"
4,494 Ratings "
28,5,Celis Raspberry,Fruit Beer,"
4.9% ABV ","
N/A IBU ",(3.6),"
4,525 Ratings "
