brewery_id,name,type,abv,ibu,rating,rating_count
0,Barrel Aged Lawgiver,Stout - Russian Imperial,10.0,,4.31,36
0,Barrel Aged Supernaut (Garrison Brothers),Stout - Imperial / Double,13.0,,4.29,17
0,Fog of War,IPA - New England,6.8,40.0,4.18,11
0,Supernaut Cookies & Cream (Barrel Aged Garrison Bros),Stout - Imperial / Double,13.0,,4.1,60
0,Cask Collective Blood Orange,IPA - American,7.0,,4.1,10
1,Guava Sour,Sour - Other,,,4.15,137
1,Berrial Shroud,Sour - Fruited,6.5,,4.15,104
1,Forgotten Ale,Sour - Flanders Oud Bruin,9.0,,4.13,168
1,Sundowner (Biere Brut) (2018 -),Bière de Champagne / Bière Brut,12.1,,4.11,16
1,Milky Madness,IPA - Milkshake,6.0,65.0,4.1,37
2,Barrel Aged Sputnik,Stout - Oatmeal,12.0,,4.42,150
2,Please Scream Inside Your Heart,Stout - Imperial / Double,10.0,,4.35,49
2,Midnight Swordfight,Stout - Imperial / Double,12.0,20.0,4.29,735
2,Black Is Beautiful,Stout - Imperial / Double,8.0,,4.25,169
2,Sazé,Farmhouse Ale - Saison,7.4,,4.23,60
3,Chocolate Coconut Moebius,Stout - Russian Imperial,11.5,60.0,4.5,13
3,Black Is Beautiful,Stout - Oatmeal,9.0,50.0,4.13,15
3,Can't Quit You V,IPA - Sour,9.4,,4.12,82
3,Moebius,Stout - Russian Imperial,11.5,60.0,4.04,610
3,Can't Quit You,Sour - Other,8.9,92.0,4.03,358
4,Black Is Beautiful,Stout - Imperial / Double,10.1,60.0,4.18,85
4,Nightorday,IPA - New England,7.5,34.0,3.96,51
4,Space Laser,IPA - American,8.5,34.0,3.91,230
4,Iron Belly,Porter - American,5.9,29.0,3.89,440
4,Better Haze & Gardens,IPA - New England,6.4,37.0,3.88,154
5,Toasted Oak Whiskey Stout,Stout - Oatmeal,7.5,,4.21,12
5,Anniversary IPA,IPA - American,7.0,,4.14,13
5,Violet Crown Quad,Belgian Quadrupel,10.0,,4.04,108
5,Molten Mango & Peach IPA,IPA - New England,7.0,50.0,3.98,11
5,Celis Waller Kriek,Lambic - Kriek,5.0,,3.97,455
6,Pancake Pig,Porter - American,9.0,,3.99,18
6,Swino,Porter - Imperial / Double,,,3.96,13
6,Whiskey Pig BBA Imperial Porter,Porter - Imperial / Double,9.0,51.0,3.96,361
6,Mojito Tranquilo,Sour - Gose,,,3.95,10
6,Doppel Blur,Hefeweizen,7.7,18.0,3.84,1218
7,Dank the Tank,IPA - American,,,4.06,43
7,Triple Double,IPA - Imperial / Double,8.6,,4.06,59
7,Saison Yakima,Farmhouse Ale - Saison,5.7,48.0,4.02,12
7,Dirt Nap Bourbon Barrel Aged,Stout - Imperial / Double,7.0,,4.01,67
7,Chuckle Berry,Sour - Fruited,5.3,,4.01,21
8,Lord Zanate IPA,IPA - American,6.9,,3.61,342
8,Comtesse De Duval Saison,Farmhouse Ale - Saison,4.6,28.0,3.44,235
8,Sculptor Formosa,Porter - Coffee,6.5,,3.78,181
8,Dutchess of Oltorf,Roggenbier,4.3,,3.44,189
8,Professor Pleasant,Pale Ale - American,5.4,,3.44,171
9,Nosy Neighbor Hater Old Ale,Old Ale,,,4.07,17
9,Bourbon Barrel Aged Black Box,Stout - Russian Imperial,8.5,38.0,3.98,132
9,Rhapsody,Mead - Other,,,3.92,12
9,Phantom Works Blueberry Wheat,Wheat Beer - Witbier,,,3.91,11
9,Swept Wing Stout (bourbon Barrel Aged),Stout - Other,,,3.89,21
10,Ten Fidy (Smooth Ambler Bourbon Barrel Aged),Stout - American,,,4.56,17
10,Ten Fidy (Cruzan Rum Barrel Aged),Stout - Imperial / Double,10.2,,4.48,93
10,"Ten FIDY With Vanilla Beans, Coffee And Cocoa Nibs",Stout - Imperial / Double,10.5,98.0,4.42,16
10,Ten FIDY (Bulleit Bourbon Barrel-Aged),Stout - Imperial / Double,11.0,,4.42,1493
10,Ten FIDY (Maker's Mark Barrel-Aged),Stout - Imperial / Double,10.8,20.0,4.42,771
11,Jaguar Shark Brewers Reserve 2018,Stout - Imperial / Double,10.5,,4.48,73
11,Emilio,IPA - Triple,10.5,,4.47,513
11,Cactus Blaster,IPA - Triple New England,10.5,,4.39,196
11,Make Your Mark,Stout - Imperial / Double,10.8,,4.38,21
11,Elastic Slacks,Stout - Imperial / Double,12.5,,4.37,32
12,Immortal Ten - Hannah,Barleywine - American,13.0,88.0,4.17,23
12,Immortal Ten - Winchester,IPA - Imperial / Double,10.0,133.0,4.12,45
12,Immortal Ten - Murray,Bock - Weizenbock,10.0,20.0,4.12,26
12,Black Is Beautiful,Stout - Imperial / Double,10.0,56.0,4.03,29
12,Robust Porter Aged in Banner Whiskey Barrels,Porter - American,6.5,40.0,4.02,13
13,Boudica,Mead - Braggot,15.0,,3.93,15
13,Fuzzy Balls,Stout - Imperial / Double,,,3.84,67
13,Mosaic,Pale Ale - American,,,3.82,15
13,Tropic Thunder,Farmhouse Ale - Saison,,,3.8,15
13,Iron Balls,Stout - Imperial / Double,9.0,45.0,3.78,807
14,KuchenBrau,Stout - Pastry,6.5,30.0,3.79,12
14,OktoberPfest,Märzen,5.5,30.0,3.77,46
14,Dia de los Compadres Muertos,Lager - Amber,5.0,15.0,3.75,110
14,Folsom Prison Blueberry Porter,Porter - Other,6.0,25.0,3.66,143
14,El Cucuy - Pumpkin Spice Halloween Edition,Dark Ale,6.0,28.0,3.64,33
15,Bourbon Barrel Aged Omnipresent,Barleywine - English,9.8,,4.34,17
15,Barrel Aged Bovine Buzz Stout (w/ Vanilla Beans and Coffee),Stout - Milk / Sweet,5.2,35.0,4.28,66
15,The Kraken,Belgian Quadrupel,10.5,,4.23,20
15,Harlequin Haze,IPA - New England,7.8,30.0,4.18,26
15,Geuse's Juice Mango Hazy IPA,IPA - American,6.2,,4.14,11
16,Whiplash,IPA - New England,7.5,53.0,4.07,49
16,"Stay Hazy, Leander",IPA - New England,6.8,60.0,4.04,42
16,Black Is Beautiful,Stout - Imperial / Double Coffee,10.0,48.0,4.03,54
16,Beer Juice,IPA - American,6.4,44.0,3.99,20
16,Grain Beret,Belgian Tripel,8.7,24.0,3.95,22
17,Jaguar Shark Brewers Reserve 2018,Stout - Imperial / Double,10.5,,4.48,73
17,Emilio,IPA - Triple,10.5,,4.47,513
17,Cactus Blaster,IPA - Triple New England,10.5,,4.39,196
17,Make Your Mark,Stout - Imperial / Double,10.8,,4.38,21
17,Elastic Slacks,Stout - Imperial / Double,12.5,,4.37,32
