id,name,street_address,zipcode,austin_area,untappd_website,latitude,longitude,avg_beer_rating,total_rating_count
0,4th Tap Brewing Cooperative,10615 Metric Boulevard,78758,North,https://untappd.com/4thTap/beer,30.3851792,-97.7119783,3.66,46068
1,Adelbert’s Brewery,2314 Rutland Drive,78758,North,https://untappd.com/adelbertsbrewery/beer,30.3823917,-97.7199028,3.76,107400
2,Austin Beerworks,3001 Industrial Terrace,78758,North,https://untappd.com/austinbeerworks/beer,30.3795473,-97.7297891,3.75,187964
3,Black Star Co-Op,7020 Easy Wind Drive,78752,North,https://untappd.com/BlackStarCo-op/beer,30.3382665,-97.7188825,3.75,23478
4,Brewtorium,6015 Dillard Circle,78752,North,https://untappd.com/Brewtorium/beer,30.3259178,-97.7168271,3.73,11270
5,Celis Brewing,10001 Metric Boulevard,78758,North,https://untappd.com/CelisBrewery/beer,30.3797326,-97.7161842,3.65,42223
6,Circle Brewing,2340 W Braker Lane,78758,North,https://untappd.com/circlebrewing/beer,30.3911437,-97.71536,3.62,39323
7,Draught House,4112 Medical Parkway,78756,North,https://untappd.com/Draught_House/beer,30.3110705,-97.7428734,3.72,6213
8,Hopsquad Brewing,2307 Kramer Lane,78758,North,https://untappd.com/w/hopsquad-brewing-co/437694/beer,30.390927,-97.7145961,3.59,2458
9,Flying Man Brewing,2400 Patterson Industrial Drive,78660,North,https://untappd.com/FlyingManBrewing/beer,30.402053,-97.628392,3.57,5445
10,Oskar Blues,10420 Metric Boulevard,78758,North,https://untappd.com/oskarblues/beer,30.384296,-97.7146899,3.8,2374871
11,Pinthouse Pizza,4729 Burnet Road,78756,North,https://untappd.com/PinthousePizza/beer,30.3186897,-97.7389967,3.98,159880
12,Bluebonnet Beer Company,1700 Bryant Dr. #107,78664,Northern Suburbs,https://untappd.com/BluebonnetBeerCo/beer,30.4919127,-97.6470851,3.73,5920
13,Bull Creek Brewing,7100 FM 3405,78642,Northern Suburbs,https://untappd.com/w/bull-creek-brewing/208827/beer,30.7055754,-97.8708988,3.64,2922
14,Compadre Brewing,16920 Joe Barbee Drive Bldg 1,78664,Northern Suburbs,https://untappd.com/CompadreBrewing/beer,30.4702644,-97.664505,3.57,1804
15,Flix Brewhouse,2200 S Interstate 35 B1,78681,Northern Suburbs,https://untappd.com/FlixBrewhouse/beer,30.4884644,-97.6796697,3.68,43043
16,Humble Pint Brewing Co.,11880 Hero Way W Suite 208,78641,Northern Suburbs,https://untappd.com/w/humble-pint-brewing-co/463104/beer,30.5779874,-97.8692995,3.9,545
17,Pinthouse Pizza,2800 Hoppe Trail,78681,Northern Suburbs,https://untappd.com/PinthousePizza/beer,30.5395656,-97.6943,3.98,159880
18,Red Horn Coffee House & Brewing Co.,13010 W. Parmer Ln. #800,78613,Northern Suburbs,https://untappd.com/RedHornBrewZack/beer,30.5338194,-97.7808235,3.93,31084
19,Rentsch Brewery,2500 NE Inner Loop,78626,Northern Suburbs,https://untappd.com/RentschBrewery/beer,30.6670585,-97.6567921,3.68,11872
20,San Gabriel River Brewery,500 Chaparral Drive,78641,Northern Suburbs,https://untappd.com/w/san-gabriel-river-brewery/273321/beer,30.7130636,-97.9015718,3.38,1080
21,Whitestone Brewery,601 E. Whitestone Blvd. #500,78613,Northern Suburbs,https://untappd.com/WhitestoneBrewery/beer,30.5238328,-97.8252258,3.73,23294
22,Central District Brewing,417 Red River Street,78701,Central/Downtown,https://untappd.com/CentralDistrictBrewing/beer,30.2652758,-97.7375225,3.72,5184
23,Holdout Brewing,1208 W 4th Street,78703,Central/Downtown,https://untappd.com/HoldOutBrewing/beer,30.2713864,-97.7589446,3.86,2106
24,(512) Brewing,407 Radam Lane,78745,South,https://untappd.com/512Brewing/beer,30.2229723,-97.7701519,3.81,171197
25,Austin Beer Garden & Brewery (ABGB),1305 W Oltorf Street,78704,South,https://untappd.com/ABGB/beer,30.2453869,-97.7688519,3.72,37723
26,Independence Brewing,3913 Todd Lane #607,78744,South,https://untappd.com/indybrewing/beer,30.2111852,-97.7360738,3.65,178141
27,Nomadic Beerworks,3804 Woodbury Drive Suite A,78704,South,https://untappd.com/NomadicBeerworks/beer,30.2244374,-97.7605577,3.8,4745
28,Orf Brewing,4700-F Burle­son Road,78744,South,https://untappd.com/OrfBrewing/beer,30.2129385,-97.7307144,3.59,1493
29,Pinthouse Pizza,4236 S Lamar Boulevard,78704,South,https://untappd.com/PinthousePizza/beer,30.2360918,-97.7958819,3.98,159880
30,St Elmo Brewing,440 E St Elmo Road,78745,South,https://untappd.com/StElmoBrewingCompany/beer,30.2174931,-97.7612044,3.75,33332
31,Thirsty Planet Brewing,8201 S Congress Avenue,78745,South,https://untappd.com/thirstyplanet/beer,30.1755719,-97.7833058,3.6,56957
32,Batch Brewhouse,3220 Manor Road,78723,East,https://untappd.com/w/batch-craft-beer-kolaches/388953/beer,30.2871899,-97.7031361,4.04,3182
33,Blue Owl Brewing,2400 E Cesar Chavez Street,78702,East,https://untappd.com/BlueOwlBrewing/beer,30.2545583,-97.7167694,3.74,76441
34,Central Machine Works Brewery and Beer Hall,4824 E Cesar Chavez Street,78702,East,https://untappd.com/w/central-machine-works/449899/beer,30.2520225,-97.7015778,3.62,825
35,Friends & Allies Brewing,979 Springdale Road,78702,East,https://untappd.com/FriendsAndAllies/beer,36.1571383,-86.8158069,3.63,23257
36,Hi Sign Brewing,1201 Bastrop Highway,78742,East,https://untappd.com/Hi_Sign/beer,30.226702,-97.6801655,3.74,20049
37,Hops and Grain,507 Calles Street,78702,East,https://untappd.com/hopsandgrain/beer,30.2582235,-97.7117686,3.76,120574
38,Lazarus Brewing,1902 E 6th Street,78702,East,https://untappd.com/LazarusBrewingCo/beer,30.2617385,-97.722008,3.73,40600
39,Live Oak Brewing,1615 Crozier Lane,78617,East,https://untappd.com/LiveOakBrewingCompany/beer,30.2210041,-97.6612735,3.72,113874
40,Oddwood Ales,3108 Manor Road,78723,East,https://untappd.com/OddwoodAles/beer,30.2868725,-97.7053361,3.98,16352
41,Southern Heights Brewing,6014 Techni Center Drive,78721,East,https://untappd.com/SHBC/beer,30.2770706,-97.6694236,3.92,12279
42,Zilker Brewing,1701 E 6th Street,78702,East,https://untappd.com/ZilkerBrewingCompany/beer,30.2621351,-97.7245464,3.77,61506
43,12 Fox Beer Company,4700 W Fitzhugh Road,78620,West,https://untappd.com/12FoxBeer/beer,30.2568713,-98.1443387,3.78,1198
44,Acopon Brewing,211 W. Mercer Street,78620,West,https://untappd.com/AcoponBrewingCompany/beer,30.1925371,-98.0891063,3.75,3919
45,Beerburg Brewing,13476 Fitzhugh Rd,78736,West,https://untappd.com/BeerburgBrewing/beer,30.2350654,-98.004425,3.71,723
46,Family Business Beer,19510 Hamilton Pool Road,78620,West,https://untappd.com/w/family-business-beer-company/378401/beer,30.292163,-98.077812,3.67,13609
47,Infamous Brewing Company,4602 Weletka Drive,78734,West,https://untappd.com/InfamousBrewing/beer,30.4068746,-97.9258875,3.62,37468
48,Jester King Brewery,13187 Fitzhugh Road,78736,West,https://untappd.com/jesterking/beer,30.230275,-97.9996111,4.02,662643
49,Last Stand Brewing,12345 Pauls Valley Road,78737,West,https://untappd.com/LastStandBrewing/beer,30.2351316,-98.0103528,3.71,22900
50,Oasis Texas Brewing,6550 Comanche Trail,78732,West,https://untappd.com/oasistxbrewing/beer,30.4060122,-97.874192,3.6,83850
51,One Shot Distillery & Brewery,31610 Ranch Road 12,78620,West,https://untappd.com/OneShotBrewery/beer,30.2507263,-98.0568349,3.6,51
52,Suds Monkey Brewing ,1032 Canyon Bend Drive,78620,West,https://untappd.com/SudsMonkeyBrewingCompany/beer,30.1947115,-98.0243086,3.62,4037
53,Twisted X Brewing,23455 Ranch to Market Road 150,78620,West,https://untappd.com/TwistedXBrewingCompany/beer,30.1651041,-98.0847108,3.5,56815
54,Vista Brewing,13551 Ranch to Market Road 150,78619,West,https://untappd.com/VistaBrewing/beer,30.1044526,-98.0196187,3.74,8571
